CLIENTNUM,Attrition_Flag,Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,BinnedFeature,OrdinalFeature
712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,48,2,5,1,2451.0,1690,761.0,0.38946128937297614,1596,26,0.43080236941303185,0.6900000000000001,1,0,0,0,Low,High
709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,36,4,1,2,8923.0,2517,6406.0,0.5080953782749484,1589,24,0.4488422186322025,0.28200000000000003,1,0,0,0,Low,Low
788658483,Existing Customer,53,F,2,College,Married,Less than $40K,38,5,2,3,2650.0,1490,1160.0,0.5151604356785399,1411,28,0.2692514808831449,0.562,1,0,0,0,Low,High
787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,49,6,2,2,12555.0,1696,10859.0,0.1527818663526641,1291,24,0.19224555735056542,0.135,1,0,0,0,Low,High
715318008,Existing Customer,55,F,1,College,Single,Less than $40K,36,4,2,1,3520.0,1914,1606.0,0.15013246982631734,1407,43,0.13004846526655897,0.544,1,0,0,0,Low,High
713962233,Existing Customer,55,F,3,Graduate,Married,Less than $40K,36,6,2,3,3035.0,2298,737.0,0.5075066234913158,1877,37,0.3166397415185784,0.757,1,0,0,0,Low,High
785432733,Existing Customer,42,F,4,High School,Married,Less than $40K,36,2,3,3,15433.0,0,15433.0,0.25463644392110685,966,22,0.32310177705977383,0.0,0,1,0,0,Medium,Low
827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,41,2,2,2,32426.0,578,31848.0,0.3067412422725935,1109,28,0.12762520193861068,0.018000000000000002,1,0,0,0,High,Medium
773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,43,3,2,3,17304.0,2517,14787.0,0.42655284074183103,1756,33,0.32310177705977383,0.145,0,0,0,1,Medium,Medium
778493808,Existing Customer,49,M,3,High School,Married,$60K - $80K,37,5,2,1,3906.0,0,3906.0,0.35737415366499853,1756,32,0.2692514808831449,0.0,1,0,0,0,Low,Medium
712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,30,3,2,3,34516.0,0,34516.0,0.4771857521342361,1444,28,0.3589122240172321,0.0,1,0,0,0,High,Medium
789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,45,6,2,0,2283.0,1430,853.0,0.6817780394465704,1741,27,0.1583198707592892,0.626,1,0,0,0,Low,High
738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,52,3,2,2,2548.0,2020,528.0,0.6938475125110393,1719,27,0.4577275175013463,0.793,1,0,0,0,Low,High
799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K,40,4,3,3,19458.0,1435,18023.0,0.2316750073594348,1217,27,0.21540118470651592,0.074,1,0,0,0,Medium,Medium
771490833,Existing Customer,52,M,1,College,Single,$80K - $120K,40,5,1,1,4745.0,1227,3518.0,0.18369149249337652,1140,40,0.16155088852988694,0.259,1,0,0,0,Low,High
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,40,2,3,1,1438.3,808,630.3,0.29349425964085957,705,19,0.2423263327948304,0.562,1,0,0,0,Low,High
711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,54,3,4,2,3171.0,2179,992.0,0.3603179275831616,1946,38,0.5177705977382876,0.687,1,0,0,0,Low,High
714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,36,1,3,3,15769.0,0,15769.0,0.30644686488077716,602,15,0.09800753904146474,0.0,1,0,0,0,Medium,High
716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K,36,2,2,0,2802.0,2363,439.0,0.22078304386223138,1295,40,0.16155088852988694,0.843,1,0,0,0,Low,Medium
768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,50,4,2,3,4458.0,1880,2578.0,0.3258757727406535,1424,29,0.3815293484114163,0.422,1,0,0,0,Low,High
714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K,34,4,4,3,3336.0,1753,1583.0,0.20312040035325288,1168,27,0.3365643511039311,0.525,1,0,0,0,Low,Low
712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,35,2,4,4,34516.0,0,34516.0,0.2246099499558434,691,15,0.13462574044157244,0.0,0,0,0,1,High,Medium
711481533,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,33,5,3,3,5926.0,1251,4675.0,0.27789225787459526,1316,28,0.31071620893914914,0.211,1,0,0,0,Low,Low
710082708,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,32,2,4,2,23957.0,2102,21855.0,0.29349425964085957,1276,26,0.1973613354873452,0.088,1,0,0,0,Medium,Medium
708155733,Existing Customer,53,M,2,High School,Single,$120K +,44,4,2,2,14734.0,1634,13100.0,0.2911392405063291,1289,23,0.24690360796984387,0.111,1,0,0,0,Medium,High
788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,38,4,1,4,34516.0,1515,33001.0,0.17427141595525464,1293,32,0.16155088852988694,0.044,0,0,0,1,High,High
807986133,Existing Customer,57,M,2,College,Married,$60K - $80K,52,5,3,3,6584.0,1817,4767.0,0.18251398292611126,1353,35,0.17959073774905765,0.276,1,0,0,0,Low,High
788730933,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,20,6,3,3,2084.0,1468,616.0,0.29555490138357376,1132,28,0.14970382337102855,0.704,1,0,0,0,Low,Medium
711314058,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,32,2,2,2,1687.0,1107,580.0,0.504857226964969,1670,17,0.6462035541195477,0.656,1,0,0,0,Low,Medium
717975333,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,38,6,2,2,25300.0,1330,23970.0,0.3155725640270827,837,15,0.5385029617662898,0.053,1,0,0,0,High,Medium
715971108,Existing Customer,51,M,4,Graduate,Single,$120K +,42,3,2,3,34516.0,1763,32753.0,0.3726817780394466,1550,41,0.2827140549273021,0.051000000000000004,1,0,0,0,High,High
720096558,Existing Customer,55,F,2,Graduate,Married,Less than $40K,42,5,3,3,2216.0,1034,1182.0,0.22313806299676187,1540,36,0.07700592353257944,0.467,1,0,0,0,Low,High
820582308,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,37,6,2,2,22913.0,1528,21385.0,0.12187224021195173,1394,35,0.14054927302100162,0.067,1,0,0,0,Medium,Low
789973308,Existing Customer,44,M,1,College,Single,$60K - $80K,35,3,3,3,24312.0,1932,22380.0,0.3862231380629968,1341,24,0.31825525040387725,0.079,1,0,0,0,Medium,Medium
712876233,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,36,5,3,2,5272.0,1515,3757.0,0.2522814247865764,1289,33,0.11712439418416802,0.28700000000000003,1,0,0,0,Low,High
804595158,Existing Customer,44,F,4,Graduate,Single,Less than $40K,36,6,4,2,7000.0,2517,4483.0,0.13982926111274654,1112,23,0.5048465266558967,0.36,1,0,0,0,Low,Medium
714826758,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,29,4,4,2,7038.0,1801,5237.0,0.2210774212540477,2339,57,0.26009693053311794,0.256,1,0,0,0,Low,Low
779058108,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,30,6,1,2,2536.0,1823,713.0,0.2069473064468649,1468,23,0.09504577275175013,0.719,1,0,0,0,Low,Medium
710790258,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,38,6,3,2,28904.0,1899,27005.0,0.25022078304386225,1334,35,0.10770059235325796,0.066,1,0,0,0,High,Medium
715623483,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,37,4,4,0,8567.0,1695,6872.0,0.36561672063585515,1457,41,0.38018309100700054,0.198,1,0,0,0,Low,Medium
794543958,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,35,5,4,2,34516.0,1219,33297.0,0.3323520753606123,1590,27,0.5385029617662898,0.035,1,0,0,0,High,High
716396358,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,47,5,3,0,3085.0,1910,1175.0,0.27112157786282015,1531,35,0.17959073774905765,0.619,1,0,0,0,Low,High
715398033,Existing Customer,53,M,2,High School,Single,$120K +,35,4,2,1,19040.0,2056,16984.0,0.17868707683249926,1212,31,0.1943995691976306,0.108,1,0,0,0,Medium,High
711743883,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,35,5,2,3,4026.0,0,4026.0,0.142184280247277,1237,32,0.16155088852988694,0.0,1,0,0,0,Low,Low
719720058,Existing Customer,44,M,3,High School,Single,$60K - $80K,31,4,3,1,12756.0,837,11919.0,0.568737120989108,1413,14,0.4846526655896608,0.066,1,0,0,0,Medium,Medium
717539808,Existing Customer,51,F,2,High School,Single,Less than $40K,36,3,2,2,9930.0,0,9930.0,0.21518987341772153,1276,21,0.3589122240172321,0.0,1,0,0,0,Low,High
714070758,Existing Customer,49,M,4,High School,Single,$80K - $120K,38,4,3,0,31302.0,1953,29349.0,0.25758021783926993,1564,35,0.5875067312870221,0.062,1,0,0,0,High,Medium
714107958,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,36,4,4,3,6576.0,0,6576.0,0.1704445098616426,1465,34,0.16666666666666669,0.0,1,0,0,0,Low,Medium
789140283,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,42,5,4,1,2664.0,2037,627.0,0.25022078304386225,1286,29,0.2512116316639742,0.765,1,0,0,0,Low,High
719712633,Existing Customer,64,M,1,Graduate,Married,Less than $40K,52,6,4,3,1709.0,895,814.0,0.4874889608478069,1673,32,0.2374798061389338,0.524,1,0,0,0,Low,High
772629333,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,35,5,4,2,3454.0,1200,2254.0,0.17574330291433618,1313,30,0.08185245018847605,0.34700000000000003,1,0,0,0,Low,Medium
720336708,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,35,5,3,2,3789.0,1706,2083.0,0.308213129231675,1609,42,0.18309100700053854,0.45,1,0,0,0,Low,High
802013583,Existing Customer,56,M,3,College,Married,$120K +,50,3,2,0,9689.0,2250,7439.0,0.16956137768619373,1158,19,0.1957458266020463,0.232,1,0,0,0,Low,High
779155158,Existing Customer,53,M,3,Graduate,Married,$120K +,34,6,2,2,2940.0,1264,1676.0,0.1654400942007654,1259,33,0.13462574044157244,0.43,1,0,0,0,Low,High
721091583,Existing Customer,44,F,2,Graduate,Single,Less than $40K,32,3,3,3,3031.0,1879,1152.0,0.23196938475125112,1298,15,0.4038772213247173,0.62,1,0,0,0,Low,Medium
716657058,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,33,2,3,3,8358.0,926,7432.0,0.2243155725640271,1566,37,0.14593430263866453,0.111,1,0,0,0,Low,Low
779509983,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,36,6,1,2,34516.0,931,33585.0,0.24374448042390345,1022,21,0.2961766289714594,0.027,1,0,0,0,High,High
717929133,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,36,5,2,3,14450.0,2440,12010.0,0.3776861937003238,1235,30,0.17959073774905765,0.169,1,0,0,0,Medium,Medium
710916408,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,39,4,3,0,8466.0,1886,6580.0,0.1648513394171328,1342,32,0.10527732902530965,0.223,1,0,0,0,Low,High
799825758,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,36,5,1,2,3263.0,1674,1589.0,0.17309390638798938,1251,35,0.09316101238556813,0.513,1,0,0,0,Low,Low
718619883,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,36,2,2,2,1494.0,706,788.0,0.49278775390050045,1305,24,0.8077544426494346,0.47300000000000003,1,0,0,0,Low,High
711844758,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,35,6,1,0,13551.0,1294,12257.0,0.23285251692670003,1388,37,0.284329563812601,0.095,1,0,0,0,Medium,Medium
714798783,Existing Customer,49,M,1,Graduate,Single,$80K - $120K,36,6,2,2,18886.0,895,17991.0,0.5375331174565794,1235,18,0.42299407646742065,0.047,1,0,0,0,Medium,Medium
771894558,Existing Customer,50,M,3,High School,Single,$80K - $120K,39,4,1,4,9964.0,1559,8405.0,0.5513688548719459,1626,25,0.2116316639741519,0.156,1,0,0,0,Low,Medium
721074183,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,36,4,6,3,24159.0,1196,22963.0,0.20959670297321165,1111,24,0.2692514808831449,0.05,1,0,0,0,Medium,Medium
715259583,Existing Customer,53,F,2,High School,Married,Less than $40K,44,3,2,3,5362.0,1901,3461.0,0.24021195172210777,1553,38,0.2692514808831449,0.355,1,0,0,0,Low,High
718414008,Existing Customer,50,M,2,Graduate,Single,$120K +,36,3,2,2,34516.0,1023,33493.0,0.29555490138357376,1064,13,0.16828217555196556,0.03,1,0,0,0,High,Medium
719666283,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,36,4,1,0,3174.0,1951,1223.0,0.22549308213129232,1243,29,0.1645126548196015,0.615,1,0,0,0,Low,High
714877233,Existing Customer,53,M,1,High School,Married,$80K - $120K,47,3,2,2,12262.0,1836,10426.0,0.4662937886370327,1659,38,0.41276252019386106,0.15,1,0,0,0,Low,High
785387883,Existing Customer,47,F,3,High School,Single,$40K - $60K,41,4,3,3,3788.0,1540,2248.0,0.16661760376803064,1594,47,0.10285406569736134,0.40700000000000003,1,0,0,0,Low,Medium
771075258,Existing Customer,55,M,2,College,Single,$120K +,42,2,3,2,34516.0,1527,32989.0,0.15484250809537828,1268,42,0.09558427571351642,0.044,0,0,0,1,High,High
711318033,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,36,4,2,2,2926.0,0,2926.0,0.19899911686782457,1304,24,0.22778675282714056,0.0,1,0,0,0,Low,Medium
783554958,Existing Customer,58,M,4,Graduate,Single,$120K +,52,6,1,0,32090.0,0,32090.0,0.16691198115984693,1368,30,0.09800753904146474,0.0,1,0,0,0,High,High
720201033,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,41,3,3,2,11669.0,2227,9442.0,0.1831027377097439,720,23,0.09504577275175013,0.191,1,0,0,0,Low,High
718039683,Existing Customer,52,M,2,High School,Single,$40K - $60K,45,3,1,2,13532.0,1300,12232.0,0.249043273476597,1521,29,0.3815293484114163,0.096,1,0,0,0,Medium,High
714752208,Existing Customer,42,F,1,Graduate,Married,Less than $40K,36,5,1,2,2393.0,1985,408.0,0.23196938475125112,978,16,0.20947765212708672,0.8300000000000001,1,0,0,0,Low,Low
714490308,Existing Customer,57,M,4,Graduate,Married,$80K - $120K,46,3,2,3,19270.0,1662,17608.0,0.34913158669414185,1565,28,0.4159935379644588,0.08600000000000001,1,0,0,0,Medium,High
713356833,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,43,3,1,4,3710.0,2517,1193.0,0.4536355607889314,1578,34,0.18847603661820142,0.678,1,0,0,0,Low,High
711402333,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,37,2,1,3,3235.0,797,2438.0,0.1592581689726229,1493,32,0.2692514808831449,0.246,1,0,0,0,Low,Medium
708296883,Existing Customer,44,F,3,Graduate,Single,$40K - $60K,38,3,1,0,11749.0,788,10961.0,0.20253164556962028,1178,27,0.2501346257404416,0.067,1,0,0,0,Low,Medium
719154483,Existing Customer,53,M,2,High School,Divorced,$60K - $80K,36,5,3,2,7753.0,2100,5653.0,0.24698263173388282,991,26,0.1973613354873452,0.271,1,0,0,0,Low,High
717721458,Existing Customer,45,M,4,College,Divorced,$60K - $80K,40,5,1,0,10408.0,1186,9222.0,0.4972034147777451,2560,42,0.32606354334948845,0.114,1,0,0,0,Low,Medium
715674483,Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,27,4,2,2,6205.0,2517,3688.0,0.2764203709155137,1204,19,0.1957458266020463,0.406,1,0,0,0,Low,Low
789322833,Attrited Customer,48,F,5,High School,Married,Less than $40K,38,1,3,3,8025.0,0,8025.0,0.19252281424786577,673,18,0.21540118470651592,0.0,1,0,0,0,Low,Medium
709919283,Existing Customer,54,M,4,Graduate,Married,$80K - $120K,34,2,3,2,14926.0,2517,12409.0,0.5875772740653518,1576,25,0.4038772213247173,0.169,1,0,0,0,Medium,High
718744008,Existing Customer,59,F,1,Graduate,Single,Less than $40K,36,3,2,3,6335.0,1128,5207.0,0.11686782455107449,1217,20,0.17959073774905765,0.178,1,0,0,0,Low,High
767712558,Attrited Customer,59,M,1,College,Single,$60K - $80K,53,2,3,3,14979.0,0,14979.0,0.20900794818957902,530,10,0.2692514808831449,0.0,1,0,0,0,Medium,High
712950783,Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,38,3,2,3,2732.0,0,2732.0,0.22372681778039447,739,16,0.12250942380183093,0.0,1,0,0,0,Low,Medium
716104983,Existing Customer,41,F,2,Graduate,Single,Less than $40K,32,6,3,2,2250.0,2117,133.0,0.3420665292905505,1617,31,0.7740980075390416,0.9410000000000001,1,0,0,0,Low,Low
818839983,Existing Customer,55,M,2,Graduate,Married,$120K +,50,3,2,0,10916.0,1536,9380.0,0.3876950250220783,1592,34,0.2692514808831449,0.14100000000000001,1,0,0,0,Low,High
712350858,Existing Customer,41,M,2,High School,Married,$80K - $120K,24,4,1,3,9366.0,1104,8262.0,0.1683838681189285,1303,39,0.16828217555196556,0.11800000000000001,1,0,0,0,Low,Low
711009708,Existing Customer,40,M,3,High School,Single,$80K - $120K,28,5,1,0,21617.0,0,21617.0,0.308213129231675,1351,22,0.12574044157242867,0.0,1,0,0,0,Medium,Low
712215258,Existing Customer,50,F,1,Graduate,Single,$40K - $60K,31,2,2,3,18386.0,0,18386.0,0.2555195760965558,1298,22,0.15374259558427575,0.0,0,0,0,1,Medium,Medium
773827008,Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,41,6,2,2,2405.0,1540,865.0,0.1380629967618487,1087,29,0.33144857296715136,0.64,1,0,0,0,Low,Medium
795232683,Existing Customer,53,F,1,College,Married,Less than $40K,47,4,2,3,2154.0,930,1224.0,0.6243744480423904,1439,26,0.3672590199246096,0.432,1,0,0,0,Low,High
713539833,Existing Customer,48,F,4,High School,Single,$40K - $60K,38,6,1,3,8135.0,0,8135.0,0.40418015896379156,1716,29,0.21863220247711365,0.0,1,0,0,0,Low,Medium
712454058,Existing Customer,49,M,1,Doctorate,Married,$120K +,38,6,1,3,9364.0,618,8746.0,0.16308507506623493,1099,27,0.21540118470651592,0.066,1,0,0,0,Low,Medium
718803333,Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,34,2,3,1,3195.0,1954,1241.0,0.28584044745363557,1285,29,0.19009154550350027,0.612,1,0,0,0,Low,Low
720253908,Existing Customer,56,M,0,High School,Married,$80K - $120K,43,5,2,1,2852.0,1024,1828.0,0.2970267883426553,1651,28,0.2692514808831449,0.359,1,0,0,0,Low,High
713187033,Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,36,3,2,2,20459.0,2071,18388.0,0.36738298498675304,1767,38,0.5834679590737749,0.101,1,0,0,0,Medium,Medium
772426383,Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,40,5,2,3,3065.0,1570,1495.0,0.31704445098616424,1130,28,0.3589122240172321,0.512,1,0,0,0,Low,Medium
710975883,Existing Customer,51,F,3,Uneducated,Married,Less than $40K,43,3,1,2,2185.0,1761,424.0,0.20076538121872242,1645,30,0.11550888529886916,0.806,1,0,0,0,Low,High
714264408,Existing Customer,47,F,3,Uneducated,Married,Less than $40K,36,4,1,0,1611.0,746,865.0,0.29231675007359437,1413,29,0.19009154550350027,0.463,1,0,0,0,Low,Medium
715827858,Existing Customer,58,F,4,Uneducated,Married,Less than $40K,47,3,3,3,2822.0,2173,649.0,0.42861348248454517,1218,23,0.6155088852988692,0.77,1,0,0,0,Low,High
713741358,Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,33,6,3,3,32975.0,2517,30458.0,0.193700323815131,597,17,0.18847603661820142,0.076,1,0,0,0,High,Medium
709531908,Existing Customer,53,M,3,High School,Married,$60K - $80K,47,5,2,2,1438.3,0,1438.3,0.2284368560494554,2184,53,0.22294022617124398,0.0,1,0,0,0,Low,High
714141108,Existing Customer,52,F,1,High School,Married,Less than $40K,45,6,3,3,6703.0,893,5810.0,0.16691198115984693,1388,28,0.20193861066235866,0.133,1,0,0,0,Low,High
712608783,Existing Customer,50,M,2,High School,Married,$80K - $120K,45,3,1,3,34516.0,1260,33256.0,0.17309390638798938,1504,34,0.2124394184168013,0.037,0,0,0,1,High,Medium
820353558,Existing Customer,41,F,3,High School,Married,$40K - $60K,36,4,1,2,9797.0,1434,8363.0,0.18957904032970269,1503,34,0.12870220786214326,0.146,1,0,0,0,Low,Low
714964758,Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,36,5,2,2,10400.0,1777,8623.0,0.23285251692670003,1105,28,0.2334410339256866,0.171,1,0,0,0,Low,Medium
716264358,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,42,2,1,2,26792.0,1836,24956.0,0.42154842508095375,2398,47,0.2369413031771675,0.069,1,0,0,0,High,High
717296808,Existing Customer,67,F,1,Graduate,Married,Less than $40K,56,4,3,2,3006.0,2517,489.0,0.6043567853988814,1661,32,0.2692514808831449,0.837,1,0,0,0,Low,High
712977183,Existing Customer,57,F,2,Uneducated,Single,$40K - $60K,36,6,3,0,19482.0,1072,18410.0,0.2078304386223138,1421,22,0.3887991383952612,0.055,0,0,0,1,Medium,High
710829108,Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,36,4,2,3,3356.0,985,2371.0,0.103032087135708,999,28,0.14970382337102855,0.294,1,0,0,0,Low,High
779562633,Existing Customer,45,M,2,Uneducated,Married,$40K - $60K,34,3,2,1,5771.0,2248,3523.0,0.5272299087430086,1387,18,0.21540118470651592,0.39,1,0,0,0,Low,Medium
715315833,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,36,6,2,3,11106.0,2107,8999.0,0.27906976744186046,1243,24,0.2692514808831449,0.19,1,0,0,0,Low,High
815500983,Existing Customer,59,F,1,Uneducated,Married,Less than $40K,54,5,3,0,2890.0,2001,889.0,0.3926994406829556,1860,36,0.2692514808831449,0.6920000000000001,1,0,0,0,Low,High
719360583,Existing Customer,53,M,1,Graduate,Married,$60K - $80K,45,6,2,2,3380.0,1701,1679.0,0.21989991168678247,1502,25,0.34275713516424344,0.503,1,0,0,0,Low,High
709701558,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,36,2,1,2,21331.0,1251,20080.0,0.2793641448336768,1460,50,0.2915993537964459,0.059000000000000004,1,0,0,0,Medium,Medium
779862408,Existing Customer,49,M,3,Post-Graduate,Single,$80K - $120K,33,3,1,0,6278.0,462,5816.0,0.34177215189873417,1087,33,0.25336564351103935,0.074,1,0,0,0,Low,Medium
812627208,Existing Customer,60,F,0,College,Single,Less than $40K,55,5,1,3,1438.3,738,700.3,0.23020312040035326,1226,33,0.15374259558427575,0.513,1,0,0,0,Low,High
711033408,Existing Customer,50,F,2,High School,Married,Less than $40K,36,5,1,2,9355.0,1626,7729.0,0.20635855166323228,1230,28,0.2334410339256866,0.17400000000000002,1,0,0,0,Low,Medium
780376683,Existing Customer,57,M,1,Graduate,Married,$80K - $120K,47,5,3,1,14612.0,1976,12636.0,0.5204592287312334,1827,24,0.8077544426494346,0.135,1,0,0,0,Medium,High
714454758,Existing Customer,57,F,3,Graduate,Married,Less than $40K,47,4,2,3,6347.0,1594,4753.0,0.2637621430674124,1771,37,0.2051696284329564,0.251,1,0,0,0,Low,High
780466533,Existing Customer,54,M,3,Doctorate,Married,$120K +,41,3,3,0,21592.0,1676,19916.0,0.3229319988224904,1873,52,0.14243403338718363,0.078,1,0,0,0,Medium,High
715735233,Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,44,5,1,1,3449.0,1598,1851.0,0.28584044745363557,1679,42,0.14970382337102855,0.463,1,0,0,0,Low,High
720476733,Existing Customer,47,F,3,High School,Married,Less than $40K,34,2,1,2,6028.0,799,5229.0,0.24109508389755668,1002,22,0.15374259558427575,0.133,1,0,0,0,Low,Medium
